Algoritmo; Tipo; Tamanho; Tempo (ns); Tempo (s); Memoria (KB); Comparacoes; Trocas de Posicao
BubbleSort; sorted; 10000; 12231430; 0,012231; 40; 49995000; 0
InsertionSort; sorted; 10000; 182420; 0,000182; 40; 9999; 0
SelectionSort; sorted; 10000; 8508610; 0,008509; 40; 49995000; 0
MergeSort; sorted; 10000; 739570; 0,000740; 80; 69008; 133616
QuickSort; sorted; 10000; 269180; 0,000269; 40; 113631; 66421
HeapSort; sorted; 10000; 1377040; 0,001377; 40; 244460; 131956
CountingSort; sorted; 10000; 497460; 0,000497; 160; 0; 10000
RadixSort; sorted; 10000; 784510; 0,000785; 80; 0; 50000
BubbleSort; sorted; 20000; 48056800; 0,048057; 80; 199990000; 0
InsertionSort; sorted; 20000; 126410; 0,000126; 80; 19999; 0
SelectionSort; sorted; 20000; 29488500; 0,029489; 80; 199990000; 0
MergeSort; sorted; 20000; 1076760; 0,001077; 160; 148016; 287232
QuickSort; sorted; 20000; 350290; 0,000350; 80; 247248; 142837
HeapSort; sorted; 20000; 1396440; 0,001396; 80; 529074; 282878
CountingSort; sorted; 20000; 123730; 0,000124; 320; 0; 20000
RadixSort; sorted; 20000; 899810; 0,000900; 160; 0; 100000
BubbleSort; sorted; 40000; 196831390; 0,196831; 160; 799980000; 0
InsertionSort; sorted; 40000; 77380; 0,000077; 160; 39999; 0
SelectionSort; sorted; 40000; 118605470; 0,118605; 160; 799980000; 0
MergeSort; sorted; 40000; 1981600; 0,001982; 320; 316032; 614464
QuickSort; sorted; 40000; 774810; 0,000775; 160; 534481; 305669
HeapSort; sorted; 40000; 3548420; 0,003548; 160; 1138114; 605202
CountingSort; sorted; 40000; 179210; 0,000179; 639; 0; 40000
RadixSort; sorted; 40000; 1660080; 0,001660; 320; 0; 240000
BubbleSort; sorted; 80000; 774324040; 0,774324; 320; 3199960000; 0
InsertionSort; sorted; 80000; 42070; 0,000042; 320; 79999; 0
SelectionSort; sorted; 80000; 493208510; 0,493209; 320; 3199960000; 0
MergeSort; sorted; 80000; 4780820; 0,004781; 640; 672064; 1308928
QuickSort; sorted; 80000; 1917850; 0,001918; 320; 1148946; 651333
HeapSort; sorted; 80000; 7713510; 0,007714; 320; 2436967; 1293150
CountingSort; sorted; 80000; 386030; 0,000386; 1275; 0; 80000
RadixSort; sorted; 80000; 3305700; 0,003306; 640; 0; 480000
BubbleSort; sorted; 100000; 1258110030; 1,258110; 400; 4999950000; 0
InsertionSort; sorted; 100000; 51470; 0,000051; 400; 99999; 0
SelectionSort; sorted; 100000; 761204420; 0,761204; 400; 4999950000; 0
MergeSort; sorted; 100000; 5154930; 0,005155; 800; 853904; 1668928
QuickSort; sorted; 100000; 2022740; 0,002023; 400; 1468946; 846100
HeapSort; sorted; 100000; 7001120; 0,007001; 400; 3112517; 1650854
CountingSort; sorted; 100000; 531240; 0,000531; 1599; 0; 100000
RadixSort; sorted; 100000; 4010690; 0,004011; 800; 0; 600000
BubbleSort; reverse; 10000; 56380220; 0,056380; 40; 49995000; 49995000
InsertionSort; reverse; 10000; 14611150; 0,014611; 40; 49995000; 50004999
SelectionSort; reverse; 10000; 78957500; 0,078958; 40; 49995000; 5000
MergeSort; reverse; 10000; 642560; 0,000643; 80; 64608; 133616
QuickSort; reverse; 10000; 309620; 0,000310; 40; 218585; 133464
HeapSort; reverse; 10000; 581630; 0,000582; 40; 226682; 116696
